"age","job","marital","education","default","housing","loan","campaign","poutcome","y"
47,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
59,"admin.","married","university.degree","no","yes","yes",1,"nonexistent","no"
51,"blue-collar","married","basic.4y","unknown","yes","yes",2,"nonexistent","no"
31,"blue-collar","married","basic.6y","no","yes","no",2,"nonexistent","no"
56,"management","married","university.degree","no","yes","yes",1,"failure","no"
39,"admin.","married","university.degree","no","no","no",2,"nonexistent","no"
41,"entrepreneur","married","university.degree","no","yes","no",1,"nonexistent","yes"
41,"management","divorced","basic.6y","no","yes","no",1,"nonexistent","no"
53,"services","married","high.school","unknown","no","no",4,"nonexistent","no"
35,"blue-collar","married","high.school","no","no","yes",4,"nonexistent","no"
58,"retired","married","basic.9y","no","no","yes",1,"nonexistent","no"
25,"self-employed","married","professional.course","no","yes","no",2,"nonexistent","no"
35,"blue-collar","divorced","basic.9y","no","yes","no",1,"failure","no"
28,"services","single","high.school","no","no","no",1,"nonexistent","no"
55,"blue-collar","married","professional.course","no","yes","yes",3,"failure","no"
54,"entrepreneur","married","basic.4y","unknown","no","yes",1,"nonexistent","no"
45,"technician","divorced","basic.9y","unknown","no","no",2,"nonexistent","no"
32,"blue-collar","married","basic.9y","no","yes","no",1,"failure","no"
50,"admin.","married","basic.9y","unknown","yes","no",3,"nonexistent","no"
75,"retired","married","basic.4y","no","no","no",1,"failure","yes"
33,"self-employed","divorced","unknown","no","no","no",4,"nonexistent","no"
29,"management","married","university.degree","no","no","yes",2,"nonexistent","no"
45,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
38,"admin.","divorced","university.degree","no","no","no",1,"nonexistent","yes"
24,"services","single","professional.course","no","yes","no",1,"nonexistent","no"
41,"technician","married","professional.course","no","yes","no",1,"nonexistent","no"
58,"retired","divorced","high.school","no","yes","no",1,"nonexistent","yes"
34,"admin.","married","university.degree","no","no","yes",2,"nonexistent","no"
34,"admin.","married","university.degree","no","no","no",2,"nonexistent","no"
37,"technician","divorced","professional.course","no","no","no",1,"nonexistent","no"
53,"blue-collar","divorced","basic.4y","no","no","no",1,"nonexistent","yes"
54,"technician","divorced","professional.course","no","yes","yes",14,"nonexistent","no"
32,"technician","divorced","professional.course","no","yes","no",1,"nonexistent","no"
42,"admin.","married","high.school","no","yes","no",6,"nonexistent","no"
28,"technician","single","professional.course","no","yes","no",2,"success","yes"
33,"services","single","high.school","no","yes","no",1,"nonexistent","no"
41,"blue-collar","married","basic.9y","no","yes","no",2,"nonexistent","no"
31,"services","married","high.school","no","no","yes",1,"nonexistent","no"
40,"technician","married","basic.9y","unknown","no","yes",4,"nonexistent","no"
53,"unknown","married","basic.9y","no","no","yes",1,"failure","no"
40,"admin.","divorced","university.degree","no","yes","no",1,"nonexistent","no"
82,"housemaid","married","basic.4y","no","no","no",3,"success","yes"
28,"blue-collar","married","basic.4y","no","yes","no",1,"nonexistent","no"
30,"admin.","married","high.school","unknown","yes","no",3,"nonexistent","no"
31,"unemployed","single","university.degree","no","yes","no",1,"success","yes"
32,"technician","single","university.degree","no","yes","no",1,"nonexistent","no"
54,"blue-collar","married","basic.4y","no","yes","no",1,"nonexistent","no"
31,"blue-collar","married","basic.9y","no","no","no",1,"nonexistent","no"
50,"services","married","unknown","no","yes","no",2,"nonexistent","no"
47,"technician","single","unknown","no","no","no",2,"nonexistent","no"
31,"admin.","single","high.school","no","yes","yes",1,"nonexistent","no"
32,"unemployed","married","high.school","no","yes","no",1,"nonexistent","no"
46,"admin.","single","high.school","no","yes","no",2,"failure","no"
47,"admin.","single","high.school","no","no","no",2,"nonexistent","no"
32,"admin.","single","high.school","no","no","no",2,"failure","no"
52,"services","divorced","high.school","unknown","no","no",1,"nonexistent","no"
45,"admin.","married","high.school","no","yes","no",3,"success","yes"
32,"admin.","married","university.degree","no","yes","no",2,"nonexistent","no"
71,"blue-collar","divorced","basic.4y","unknown","no","no",1,"nonexistent","no"
49,"services","married","high.school","no","yes","no",2,"nonexistent","no"
46,"admin.","married","high.school","no","yes","yes",10,"nonexistent","no"
46,"blue-collar","married","professional.course","no","no","no",1,"nonexistent","no"
38,"admin.","married","university.degree","no","yes","no",6,"nonexistent","no"
57,"services","married","professional.course","unknown","no","no",2,"nonexistent","no"
41,"services","single","high.school","unknown","unknown","unknown",2,"failure","no"
44,"technician","married","professional.course","no","no","no",3,"nonexistent","no"
47,"technician","married","university.degree","no","yes","no",7,"nonexistent","no"
40,"blue-collar","married","basic.9y","no","yes","yes",2,"nonexistent","no"
57,"retired","single","professional.course","no","yes","no",1,"nonexistent","no"
27,"admin.","single","unknown","no","no","no",1,"success","yes"
52,"blue-collar","married","basic.9y","no","no","no",1,"nonexistent","yes"
34,"management","married","university.degree","no","yes","yes",1,"nonexistent","no"
42,"entrepreneur","married","university.degree","no","yes","no",1,"nonexistent","no"
51,"technician","married","unknown","no","yes","no",3,"nonexistent","no"
45,"management","married","basic.4y","unknown","yes","no",1,"nonexistent","no"
56,"retired","married","high.school","no","no","no",1,"nonexistent","no"
41,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
44,"admin.","married","high.school","no","yes","no",1,"nonexistent","no"
50,"blue-collar","married","basic.6y","no","yes","no",3,"success","yes"
54,"self-employed","married","high.school","no","no","no",3,"nonexistent","no"
51,"blue-collar","married","basic.6y","no","no","no",1,"nonexistent","no"
30,"blue-collar","single","basic.9y","no","no","no",1,"nonexistent","no"
42,"housemaid","married","basic.4y","unknown","yes","no",8,"nonexistent","no"
41,"technician","married","professional.course","unknown","yes","no",11,"nonexistent","no"
47,"services","single","basic.9y","no","no","no",2,"nonexistent","no"
35,"blue-collar","married","basic.6y","no","yes","no",1,"failure","no"
58,"blue-collar","married","basic.9y","no","no","no",1,"failure","no"
50,"blue-collar","divorced","high.school","no","yes","yes",2,"nonexistent","yes"
41,"technician","married","professional.course","no","no","no",1,"nonexistent","no"
38,"technician","married","university.degree","no","yes","no",1,"nonexistent","no"
32,"student","single","university.degree","no","no","no",2,"nonexistent","no"
21,"student","single","high.school","no","no","no",1,"failure","no"
46,"admin.","divorced","basic.9y","unknown","no","no",1,"nonexistent","no"
42,"self-employed","married","university.degree","no","yes","no",3,"nonexistent","no"
55,"services","married","basic.9y","no","no","no",13,"nonexistent","no"
29,"admin.","single","high.school","no","yes","no",1,"success","no"
30,"blue-collar","single","basic.6y","unknown","yes","no",1,"nonexistent","no"
53,"management","married","basic.4y","no","yes","no",1,"nonexistent","no"
35,"management","married","university.degree","no","yes","no",2,"nonexistent","no"
46,"services","married","professional.course","no","yes","no",4,"nonexistent","no"
30,"blue-collar","married","unknown","no","no","no",2,"nonexistent","no"
43,"entrepreneur","married","university.degree","unknown","yes","no",1,"nonexistent","no"
42,"services","married","high.school","unknown","yes","no",4,"nonexistent","no"
32,"technician","married","professional.course","no","no","no",1,"nonexistent","no"
41,"blue-collar","divorced","basic.9y","no","yes","no",1,"failure","no"
28,"admin.","married","university.degree","no","no","no",3,"failure","no"
24,"services","single","university.degree","no","no","no",6,"nonexistent","no"
43,"management","married","university.degree","unknown","yes","yes",1,"nonexistent","no"
30,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
55,"blue-collar","married","basic.9y","unknown","no","no",2,"nonexistent","no"
51,"retired","married","basic.9y","unknown","no","no",1,"nonexistent","no"
22,"student","single","high.school","no","no","yes",2,"nonexistent","no"
32,"entrepreneur","single","university.degree","no","no","yes",1,"nonexistent","no"
43,"admin.","married","professional.course","unknown","no","no",3,"nonexistent","no"
39,"management","married","basic.6y","unknown","no","no",5,"nonexistent","no"
52,"blue-collar","divorced","unknown","no","no","no",8,"nonexistent","no"
38,"technician","single","professional.course","no","yes","no",3,"failure","no"
59,"retired","married","basic.4y","no","no","no",4,"nonexistent","no"
31,"blue-collar","married","basic.4y","no","yes","no",2,"nonexistent","no"
76,"retired","single","basic.4y","no","no","no",4,"success","yes"
44,"unknown","single","basic.9y","unknown","yes","no",3,"nonexistent","no"
30,"blue-collar","married","unknown","no","no","no",2,"nonexistent","no"
32,"services","married","high.school","unknown","no","no",1,"nonexistent","no"
41,"unemployed","married","unknown","no","no","no",3,"nonexistent","no"
33,"admin.","single","university.degree","no","yes","no",4,"nonexistent","yes"
59,"retired","married","basic.4y","no","yes","no",1,"nonexistent","no"
28,"blue-collar","married","basic.9y","no","yes","no",3,"nonexistent","no"
33,"blue-collar","single","basic.6y","no","yes","no",2,"nonexistent","no"
53,"services","married","high.school","unknown","yes","no",1,"nonexistent","no"
41,"services","married","high.school","no","no","no",6,"nonexistent","yes"
55,"unknown","married","basic.4y","no","no","yes",1,"nonexistent","no"
45,"blue-collar","married","basic.9y","unknown","no","no",1,"nonexistent","no"
35,"technician","married","professional.course","no","no","no",4,"nonexistent","no"
31,"services","married","high.school","unknown","no","no",3,"nonexistent","no"
53,"management","married","university.degree","no","no","no",4,"nonexistent","no"
35,"technician","single","professional.course","no","yes","no",1,"nonexistent","no"
45,"blue-collar","divorced","basic.6y","unknown","yes","no",1,"nonexistent","no"
34,"housemaid","single","university.degree","no","no","no",2,"nonexistent","no"
42,"admin.","married","basic.9y","no","no","no",3,"failure","no"
36,"self-employed","married","basic.9y","no","yes","yes",3,"nonexistent","no"
44,"admin.","married","high.school","no","no","no",3,"nonexistent","no"
50,"admin.","divorced","university.degree","no","yes","no",2,"nonexistent","no"
36,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
27,"technician","married","professional.course","no","no","no",9,"nonexistent","no"
40,"management","married","unknown","no","no","no",3,"nonexistent","no"
25,"technician","single","university.degree","no","yes","yes",6,"nonexistent","no"
29,"management","married","university.degree","no","yes","yes",2,"nonexistent","no"
44,"admin.","married","high.school","no","no","no",3,"nonexistent","no"
57,"blue-collar","married","unknown","unknown","yes","no",2,"nonexistent","no"
30,"admin.","single","high.school","no","yes","no",1,"nonexistent","no"
37,"self-employed","married","university.degree","no","yes","yes",2,"nonexistent","no"
57,"technician","married","basic.9y","no","no","no",1,"nonexistent","no"
32,"technician","married","professional.course","no","yes","no",1,"nonexistent","yes"
54,"admin.","married","professional.course","no","no","no",2,"success","yes"
58,"blue-collar","married","basic.9y","no","yes","no",1,"nonexistent","yes"
29,"admin.","single","university.degree","unknown","yes","no",5,"nonexistent","no"
60,"services","married","high.school","unknown","no","no",1,"nonexistent","no"
27,"unemployed","single","university.degree","no","no","no",2,"nonexistent","no"
30,"unemployed","married","high.school","no","yes","no",3,"nonexistent","no"
42,"blue-collar","married","basic.4y","no","no","no",1,"nonexistent","no"
48,"housemaid","married","high.school","no","no","no",1,"nonexistent","no"
35,"admin.","single","university.degree","no","no","no",2,"nonexistent","no"
46,"blue-collar","married","basic.6y","unknown","yes","yes",1,"nonexistent","no"
57,"retired","unknown","basic.4y","no","no","no",1,"nonexistent","no"
30,"services","married","high.school","no","no","no",3,"nonexistent","no"
28,"technician","single","high.school","no","yes","yes",4,"failure","no"
34,"services","married","high.school","unknown","yes","no",1,"nonexistent","no"
42,"blue-collar","married","basic.4y","unknown","no","no",1,"nonexistent","no"
30,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
27,"student","single","basic.9y","no","yes","no",1,"nonexistent","no"
23,"entrepreneur","married","university.degree","no","yes","no",1,"nonexistent","no"
43,"blue-collar","married","basic.4y","unknown","yes","no",1,"nonexistent","no"
59,"management","married","basic.4y","unknown","yes","yes",1,"nonexistent","no"
31,"self-employed","single","university.degree","no","no","no",1,"failure","no"
43,"self-employed","married","basic.9y","no","no","no",2,"nonexistent","no"
52,"technician","married","high.school","no","yes","no",2,"nonexistent","no"
26,"housemaid","single","high.school","unknown","yes","yes",1,"nonexistent","no"
24,"blue-collar","married","basic.9y","no","yes","yes",6,"nonexistent","no"
35,"blue-collar","single","basic.6y","no","no","no",1,"failure","no"
59,"technician","married","professional.course","no","no","no",4,"failure","yes"
28,"blue-collar","married","basic.6y","unknown","no","no",1,"nonexistent","no"
37,"blue-collar","single","basic.9y","no","no","no",2,"nonexistent","no"
46,"admin.","married","professional.course","no","no","no",1,"failure","no"
26,"technician","single","university.degree","no","yes","no",3,"success","yes"
40,"management","married","university.degree","no","yes","no",6,"nonexistent","no"
56,"blue-collar","married","basic.4y","unknown","yes","no",2,"nonexistent","no"
40,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
29,"admin.","single","university.degree","no","yes","yes",2,"nonexistent","no"
28,"blue-collar","single","basic.9y","no","yes","no",1,"failure","no"
48,"technician","single","unknown","unknown","no","no",7,"nonexistent","no"
28,"unemployed","single","university.degree","no","yes","no",1,"nonexistent","no"
33,"technician","married","professional.course","no","no","no",4,"nonexistent","no"
56,"entrepreneur","married","university.degree","no","yes","yes",1,"nonexistent","no"
57,"retired","married","basic.9y","no","no","no",4,"nonexistent","yes"
24,"admin.","single","high.school","unknown","yes","no",1,"nonexistent","no"
39,"self-employed","married","university.degree","no","no","no",2,"nonexistent","no"
40,"blue-collar","married","unknown","no","yes","yes",1,"nonexistent","no"
54,"blue-collar","divorced","unknown","unknown","yes","no",3,"nonexistent","no"
25,"admin.","single","university.degree","no","no","no",2,"nonexistent","no"
36,"blue-collar","married","basic.9y","unknown","no","no",3,"failure","yes"
48,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
32,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
48,"admin.","married","university.degree","no","yes","yes",2,"nonexistent","no"
30,"technician","married","university.degree","unknown","yes","no",3,"nonexistent","no"
41,"admin.","divorced","high.school","no","no","no",2,"nonexistent","no"
54,"retired","divorced","basic.4y","unknown","yes","no",1,"nonexistent","no"
29,"admin.","single","university.degree","no","yes","no",1,"nonexistent","yes"
28,"blue-collar","single","high.school","no","yes","no",2,"nonexistent","no"
30,"admin.","married","university.degree","no","no","no",2,"nonexistent","no"
54,"admin.","married","university.degree","no","yes","no",3,"nonexistent","no"
33,"entrepreneur","married","basic.9y","unknown","no","no",1,"nonexistent","no"
38,"blue-collar","married","basic.9y","no","no","no",1,"success","no"
46,"housemaid","divorced","basic.6y","no","yes","no",8,"nonexistent","no"
38,"admin.","divorced","university.degree","no","no","no",3,"nonexistent","no"
38,"services","married","high.school","no","no","no",1,"nonexistent","no"
33,"blue-collar","married","high.school","no","yes","no",1,"nonexistent","no"
25,"admin.","married","university.degree","no","no","no",1,"nonexistent","no"
29,"admin.","single","university.degree","unknown","yes","no",10,"nonexistent","no"
60,"technician","married","professional.course","unknown","no","no",15,"nonexistent","no"
57,"services","married","high.school","no","yes","no",2,"nonexistent","no"
36,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
54,"admin.","married","university.degree","no","no","no",5,"nonexistent","no"
25,"self-employed","single","university.degree","no","no","no",3,"nonexistent","no"
41,"entrepreneur","married","university.degree","no","no","no",4,"nonexistent","no"
54,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
39,"blue-collar","divorced","basic.6y","unknown","no","no",1,"nonexistent","no"
55,"entrepreneur","divorced","university.degree","unknown","no","no",1,"failure","no"
40,"admin.","married","high.school","no","no","no",3,"nonexistent","no"
43,"unemployed","married","university.degree","unknown","yes","no",1,"nonexistent","no"
81,"retired","married","basic.4y","no","no","no",2,"nonexistent","yes"
43,"technician","divorced","professional.course","no","yes","no",1,"nonexistent","no"
34,"admin.","married","high.school","no","yes","no",1,"success","yes"
42,"technician","married","high.school","no","yes","no",1,"nonexistent","no"
30,"services","married","basic.6y","no","no","no",2,"nonexistent","no"
24,"services","single","basic.9y","unknown","no","yes",2,"nonexistent","no"
51,"unknown","married","unknown","unknown","yes","no",5,"nonexistent","no"
42,"blue-collar","married","basic.9y","no","no","no",5,"success","no"
51,"self-employed","married","basic.4y","unknown","no","yes",7,"nonexistent","no"
38,"blue-collar","married","high.school","unknown","no","no",3,"nonexistent","no"
45,"blue-collar","married","basic.4y","unknown","yes","yes",1,"nonexistent","no"
51,"admin.","divorced","university.degree","unknown","no","no",1,"nonexistent","no"
44,"admin.","married","university.degree","unknown","no","no",6,"nonexistent","no"
52,"technician","married","basic.9y","no","yes","no",1,"nonexistent","no"
49,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
49,"technician","married","professional.course","no","yes","no",1,"nonexistent","no"
52,"unknown","married","basic.6y","no","no","no",4,"nonexistent","no"
32,"entrepreneur","married","university.degree","no","no","no",4,"nonexistent","no"
27,"services","married","high.school","no","no","no",3,"nonexistent","no"
44,"admin.","divorced","high.school","no","yes","no",8,"failure","no"
33,"admin.","single","university.degree","no","no","no",7,"nonexistent","no"
30,"services","married","basic.9y","no","no","no",2,"nonexistent","no"
32,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
36,"blue-collar","married","professional.course","unknown","yes","yes",3,"nonexistent","no"
49,"unemployed","married","high.school","no","yes","no",1,"nonexistent","no"
48,"services","single","basic.4y","unknown","yes","yes",2,"nonexistent","no"
48,"technician","married","professional.course","no","yes","no",8,"nonexistent","yes"
42,"blue-collar","married","basic.4y","no","no","no",2,"nonexistent","no"
28,"admin.","married","high.school","no","yes","no",3,"nonexistent","no"
52,"management","married","university.degree","unknown","yes","yes",1,"nonexistent","no"
23,"management","single","university.degree","no","yes","no",2,"nonexistent","no"
36,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
43,"admin.","divorced","university.degree","unknown","no","no",2,"nonexistent","no"
31,"services","divorced","high.school","unknown","yes","no",1,"nonexistent","no"
49,"unemployed","married","basic.4y","no","yes","no",2,"nonexistent","no"
36,"blue-collar","married","basic.9y","no","yes","no",3,"nonexistent","no"
47,"management","divorced","basic.4y","no","no","no",2,"nonexistent","no"
31,"technician","single","professional.course","no","unknown","unknown",7,"nonexistent","no"
46,"entrepreneur","married","professional.course","unknown","no","no",1,"nonexistent","no"
54,"blue-collar","married","basic.9y","unknown","yes","no",3,"nonexistent","no"
35,"admin.","married","university.degree","no","no","no",3,"nonexistent","no"
37,"admin.","divorced","high.school","no","no","no",10,"nonexistent","no"
44,"blue-collar","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
30,"unemployed","married","high.school","no","no","no",1,"success","yes"
33,"admin.","single","high.school","no","yes","no",5,"nonexistent","no"
57,"services","divorced","unknown","no","no","no",3,"nonexistent","no"
39,"admin.","single","unknown","no","no","yes",4,"nonexistent","no"
43,"unemployed","married","basic.4y","no","no","no",2,"nonexistent","no"
32,"services","married","high.school","no","unknown","unknown",2,"nonexistent","no"
29,"technician","single","university.degree","no","no","no",2,"nonexistent","no"
35,"admin.","divorced","high.school","no","yes","yes",2,"failure","no"
47,"admin.","married","high.school","no","no","no",2,"nonexistent","no"
37,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
35,"technician","single","university.degree","unknown","no","no",1,"nonexistent","no"
37,"self-employed","married","basic.9y","no","yes","yes",1,"nonexistent","no"
36,"technician","married","high.school","unknown","yes","no",2,"nonexistent","no"
50,"admin.","married","basic.9y","no","no","no",1,"nonexistent","no"
30,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
33,"blue-collar","married","basic.9y","no","yes","no",1,"nonexistent","no"
37,"admin.","single","high.school","no","no","yes",6,"nonexistent","no"
45,"self-employed","divorced","university.degree","no","no","yes",1,"nonexistent","no"
30,"admin.","single","university.degree","no","no","no",2,"failure","no"
51,"management","divorced","university.degree","no","no","no",2,"nonexistent","no"
49,"self-employed","single","basic.9y","no","no","no",10,"nonexistent","no"
31,"technician","single","university.degree","no","yes","no",5,"nonexistent","no"
40,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
41,"technician","married","professional.course","no","no","yes",2,"nonexistent","no"
58,"retired","married","basic.4y","no","yes","no",1,"success","no"
49,"blue-collar","married","basic.4y","unknown","yes","no",1,"nonexistent","no"
39,"technician","divorced","professional.course","no","yes","no",1,"nonexistent","no"
48,"technician","married","basic.6y","no","no","yes",1,"nonexistent","no"
50,"entrepreneur","married","basic.4y","unknown","no","no",2,"nonexistent","no"
54,"blue-collar","married","unknown","no","yes","no",3,"nonexistent","no"
38,"blue-collar","married","unknown","unknown","no","yes",1,"nonexistent","no"
51,"blue-collar","married","basic.4y","no","no","no",2,"nonexistent","no"
36,"admin.","single","university.degree","unknown","no","no",4,"nonexistent","no"
35,"blue-collar","married","basic.6y","no","yes","no",2,"nonexistent","no"
44,"admin.","married","high.school","no","no","no",1,"nonexistent","no"
43,"blue-collar","married","basic.4y","no","no","yes",1,"failure","no"
30,"technician","single","university.degree","no","no","no",7,"nonexistent","no"
41,"technician","divorced","basic.4y","no","yes","no",1,"nonexistent","no"
27,"management","single","university.degree","no","yes","no",2,"nonexistent","no"
