id,price,vehicleType,yearOfRegistration,gearbox,powerPS,kilometer,notRepairedDamage
98860,4917,cabrio,2007,automatik,71,70000,nein
20098,5496,limousine,2008,manuell,105,150000,nein
51469,5883,kombi,2008,manuell,150,150000,nein
97214,3391,kleinwagen,2006,manuell,75,150000,nein
160588,1982,bus,2006,manuell,75,150000,nein
107229,8271,cabrio,2006,automatik,116,150000,nein
82777,3992,bus,2006,manuell,109,125000,nein
60731,7219,limousine,2008,manuell,101,60000,nein
154188,8493,limousine,2007,manuell,260,125000,nein
133965,4134,kleinwagen,2007,manuell,71,60000,ja
85386,6021,bus,2006,automatik,150,150000,nein
73860,7331,limousine,2006,automatik,140,150000,nein
65736,7023,limousine,2008,automatik,95,40000,nein
58206,4959,suv,2007,manuell,85,150000,nein
161863,5213,bus,2006,manuell,105,150000,nein
26430,2195,kleinwagen,2006,manuell,50,125000,nein
73156,2003,limousine,2006,manuell,75,150000,ja
21725,2504,kombi,2008,manuell,105,150000,ja
98364,9466,kombi,2008,automatik,170,150000,nein
69039,8289,bus,2006,automatik,204,150000,nein
112415,1831,kleinwagen,2007,manuell,68,150000,nein
152805,5493,kombi,2007,manuell,140,150000,nein
111326,2953,coupe,2006,automatik,109,125000,nein
128795,2906,kleinwagen,2007,manuell,60,60000,nein
143693,6510,limousine,2007,manuell,116,125000,nein
159951,9028,limousine,2006,manuell,129,150000,nein
103510,9310,suv,2007,manuell,140,150000,nein
31552,2521,kombi,2006,manuell,170,150000,nein
77122,6529,kombi,2006,manuell,140,150000,nein
44062,4224,kleinwagen,2006,manuell,101,150000,nein
163102,3854,bus,2006,manuell,140,150000,nein
56483,3439,bus,2006,manuell,69,125000,nein
135976,1978,bus,2008,manuell,101,150000,ja
165895,3991,kombi,2007,manuell,145,150000,nein
50861,8986,kombi,2008,manuell,125,150000,nein
197237,9989,limousine,2008,automatik,235,150000,ja
49952,1835,bus,2007,manuell,101,150000,nein
11748,5942,kleinwagen,2008,manuell,101,90000,nein
91538,4796,kleinwagen,2008,manuell,69,125000,nein
133530,2784,kleinwagen,2006,manuell,88,150000,nein
85276,5877,limousine,2007,manuell,102,90000,nein
78109,9500,limousine,2006,manuell,129,125000,nein
1916,9951,kombi,2007,manuell,197,150000,nein
141587,3930,bus,2008,manuell,101,150000,nein
113694,7947,limousine,2006,manuell,200,150000,nein
124174,4986,kombi,2008,manuell,140,150000,nein
137918,2532,kleinwagen,2006,manuell,102,150000,nein
73605,9004,suv,2006,manuell,150,150000,nein
191884,4987,limousine,2006,manuell,105,150000,nein
112673,2696,kleinwagen,2006,manuell,44,80000,nein
174849,7012,limousine,2006,manuell,140,150000,nein
77669,4416,kleinwagen,2007,manuell,60,60000,nein
110928,5596,cabrio,2006,manuell,150,150000,nein
150665,6789,limousine,2008,manuell,105,150000,nein
17408,7505,kombi,2007,automatik,140,150000,ja
139989,3467,kleinwagen,2007,manuell,95,150000,ja
65517,3477,kombi,2007,automatik,105,150000,ja
93813,2564,kombi,2006,manuell,109,150000,nein
73494,8964,kombi,2007,manuell,163,150000,nein
166757,8749,cabrio,2006,manuell,150,125000,nein
151449,8746,limousine,2006,manuell,197,150000,nein
36437,9873,bus,2008,manuell,102,80000,nein
16458,4558,kleinwagen,2006,manuell,87,90000,nein
109735,6659,kleinwagen,2007,manuell,120,125000,nein
166505,2504,kombi,2006,manuell,150,150000,nein
161349,2999,kombi,2006,manuell,120,150000,nein
165010,3497,kleinwagen,2007,manuell,54,125000,nein
23716,4269,kleinwagen,2007,manuell,95,70000,nein
99084,3388,kleinwagen,2006,manuell,60,125000,nein
28101,7374,kombi,2007,manuell,120,150000,nein
145486,4439,kombi,2006,manuell,150,150000,nein
158815,8810,kombi,2008,automatik,140,150000,nein
171511,5307,bus,2006,manuell,105,150000,nein
17989,9302,limousine,2006,manuell,150,150000,nein
123851,4844,kleinwagen,2008,automatik,68,50000,nein
193577,5466,kombi,2008,manuell,170,150000,nein
131406,8488,limousine,2007,manuell,140,150000,nein
43108,7843,cabrio,2008,manuell,120,30000,nein
87134,3794,kleinwagen,2007,manuell,86,80000,nein
106781,6176,bus,2006,manuell,128,150000,nein
37569,9992,kleinwagen,2007,manuell,179,150000,nein
103383,9709,kombi,2006,automatik,232,150000,nein
42351,3813,kleinwagen,2007,automatik,71,125000,nein
84275,4527,kombi,2007,manuell,90,150000,nein
146204,8504,bus,2007,manuell,105,125000,nein
172667,3618,bus,2006,manuell,135,125000,nein
122534,5314,bus,2007,automatik,105,150000,nein
125920,3286,cabrio,2006,manuell,163,125000,ja
173205,8343,limousine,2008,manuell,147,150000,nein
117184,5322,coupe,2007,manuell,116,150000,nein
45407,3137,bus,2006,manuell,120,150000,nein
91399,9529,limousine,2006,automatik,180,150000,nein
39237,6578,kombi,2008,manuell,140,90000,nein
8479,6822,kombi,2008,manuell,105,150000,nein
47777,9984,suv,2007,automatik,227,100000,nein
173327,2505,kleinwagen,2006,manuell,75,150000,nein
106835,5917,limousine,2008,manuell,140,125000,nein
113715,5741,kleinwagen,2007,manuell,64,80000,nein
31334,8968,kombi,2008,automatik,197,150000,nein
102290,4239,kombi,2007,manuell,120,150000,nein
34854,4244,kleinwagen,2007,manuell,70,150000,nein
134210,6015,bus,2007,automatik,173,150000,nein
43073,4962,bus,2006,automatik,111,70000,nein
56558,4507,kleinwagen,2007,manuell,80,125000,nein
182499,6565,bus,2008,manuell,150,150000,nein
33493,6535,kombi,2008,automatik,140,150000,nein
195810,6863,kombi,2006,automatik,150,150000,nein
157375,3981,kleinwagen,2008,automatik,71,50000,nein
82757,4961,cabrio,2007,manuell,120,125000,nein
179963,4505,bus,2008,manuell,95,150000,nein
14593,4987,kombi,2007,automatik,140,150000,ja
72375,9674,limousine,2008,manuell,101,50000,nein
27699,8935,cabrio,2006,manuell,140,150000,nein
970,8821,limousine,2008,manuell,170,125000,nein
12140,2968,kleinwagen,2008,manuell,0,100000,nein
166539,3743,kombi,2006,manuell,101,150000,nein
50986,7984,kombi,2008,automatik,140,150000,nein
98210,5902,kombi,2007,manuell,102,150000,nein
9712,3469,kombi,2006,manuell,75,150000,nein
182251,5827,kombi,2007,automatik,75,90000,nein
79983,4502,kleinwagen,2008,manuell,75,50000,nein
141598,4807,bus,2006,manuell,120,150000,nein
95141,7848,cabrio,2006,manuell,160,150000,nein
184137,7047,limousine,2006,manuell,129,150000,nein
16292,6122,bus,2006,manuell,140,150000,nein
25992,5799,kombi,2006,automatik,0,150000,nein
1880,6999,suv,2006,manuell,177,150000,nein
52865,7888,kombi,2007,manuell,140,150000,nein
185021,7479,limousine,2007,manuell,105,150000,nein
174775,2241,kleinwagen,2006,manuell,69,150000,nein
91310,9504,kombi,2007,manuell,170,125000,nein
21626,4195,kleinwagen,2007,manuell,54,125000,nein
126890,3453,kombi,2006,manuell,109,150000,nein
74520,8483,bus,2006,automatik,102,80000,nein
179375,6505,kombi,2006,manuell,102,125000,nein
141247,5595,kombi,2006,automatik,184,150000,nein
74615,5920,kombi,2006,automatik,231,150000,nein
184659,4509,kleinwagen,2007,manuell,192,150000,nein
111770,7435,limousine,2006,manuell,140,125000,nein
16976,3360,kleinwagen,2006,manuell,102,150000,nein
132880,3297,kombi,2006,automatik,0,150000,nein
199108,5281,kleinwagen,2008,manuell,90,125000,nein
186901,2924,kombi,2006,manuell,109,150000,nein
94895,3565,kleinwagen,2007,manuell,75,100000,nein
28852,9990,kombi,2008,automatik,170,150000,nein
60873,7961,coupe,2006,manuell,102,150000,nein
160382,9508,kombi,2008,automatik,170,150000,nein
76005,2482,kleinwagen,2007,manuell,0,150000,nein
75503,2582,limousine,2006,manuell,88,125000,nein
140033,4924,kleinwagen,2008,manuell,90,100000,nein
181742,4965,kleinwagen,2007,manuell,87,80000,nein
151297,5776,limousine,2006,manuell,116,150000,nein
57428,3462,kombi,2008,automatik,170,150000,ja
181354,4699,limousine,2008,manuell,100,150000,nein
71711,7223,limousine,2007,manuell,122,125000,nein
59265,5009,limousine,2008,manuell,80,125000,nein
163058,8198,limousine,2008,manuell,260,125000,nein
113347,2404,kombi,2007,manuell,0,150000,ja
26012,8312,coupe,2008,manuell,160,150000,nein
166069,8801,bus,2008,automatik,145,125000,nein
157999,5664,bus,2006,automatik,116,150000,nein
86336,2864,kombi,2006,manuell,150,150000,nein
188487,6140,cabrio,2007,manuell,109,150000,nein
83661,6463,kombi,2006,manuell,105,150000,nein
194268,4217,kleinwagen,2006,manuell,101,150000,nein
32565,5302,kombi,2006,manuell,105,150000,nein
12419,6419,coupe,2006,manuell,200,150000,nein
121856,8796,kombi,2007,manuell,170,150000,nein
41931,3873,cabrio,2007,manuell,109,100000,nein
21965,7018,limousine,2008,manuell,110,150000,nein
96760,1928,kleinwagen,2006,manuell,75,150000,nein
188914,7347,cabrio,2006,manuell,116,125000,nein
100226,7971,bus,2007,manuell,105,100000,nein
70505,6990,kombi,2008,automatik,197,150000,ja
8542,4228,kleinwagen,2006,manuell,106,150000,nein
197325,4935,kombi,2006,manuell,121,150000,nein
108466,6304,kombi,2008,automatik,0,90000,nein
110230,6992,kombi,2007,manuell,146,150000,nein
18070,6947,suv,2006,automatik,194,150000,nein
19963,8712,kombi,2007,manuell,140,150000,nein
174915,5764,kombi,2007,manuell,75,150000,nein
57906,9486,cabrio,2006,manuell,116,40000,nein
94828,8697,kleinwagen,2006,manuell,243,90000,nein
158301,5934,limousine,2007,manuell,102,100000,ja
172478,8880,limousine,2007,manuell,179,150000,nein
6262,4510,kleinwagen,2008,manuell,87,90000,nein
93944,5966,limousine,2007,manuell,170,70000,nein
141417,5793,kombi,2006,manuell,140,150000,nein
168211,8727,suv,2008,manuell,86,90000,nein
5952,8227,limousine,2007,manuell,114,100000,nein
95717,2765,kleinwagen,2007,manuell,60,150000,nein
78231,4745,kleinwagen,2008,manuell,69,100000,nein
137536,3304,kombi,2006,manuell,101,150000,nein
88709,5842,kleinwagen,2008,manuell,120,100000,nein
181978,7464,kombi,2007,manuell,0,150000,nein
12875,4705,bus,2006,automatik,139,150000,nein
137878,6915,cabrio,2008,manuell,120,125000,nein
20314,9999,kleinwagen,2006,manuell,80,100000,nein
849,4930,kleinwagen,2007,manuell,80,100000,nein
191164,8806,cabrio,2008,manuell,90,70000,nein
51816,4255,limousine,2006,manuell,105,125000,nein
84289,7460,coupe,2006,automatik,150,150000,nein
79692,3386,kleinwagen,2006,manuell,80,70000,ja
87030,9576,suv,2006,automatik,218,150000,nein
36343,4666,kleinwagen,2007,manuell,69,80000,nein
169068,3217,kleinwagen,2006,manuell,69,90000,nein
137438,8303,bus,2008,manuell,95,125000,nein
159712,8851,limousine,2008,manuell,109,70000,nein
44438,5477,limousine,2006,manuell,177,150000,nein
131740,2751,kleinwagen,2007,manuell,75,150000,nein
56040,8029,kombi,2008,manuell,177,150000,nein
187564,5021,kombi,2007,manuell,150,150000,nein
142177,2121,bus,2006,manuell,150,150000,nein
70944,6011,kombi,2007,manuell,140,150000,nein
132189,4117,kombi,2006,manuell,170,150000,nein
19165,2013,kombi,2006,manuell,109,150000,nein
18212,9002,limousine,2006,manuell,197,150000,nein
143474,5871,kombi,2008,manuell,109,100000,ja
153685,1982,kleinwagen,2006,manuell,54,150000,ja
42146,3349,limousine,2006,manuell,105,150000,nein
110290,4553,suv,2008,manuell,140,150000,nein
194029,6308,bus,2007,manuell,105,150000,ja
176786,5000,kleinwagen,2008,automatik,45,70000,nein
187115,5085,limousine,2007,manuell,150,150000,nein
104580,5536,kombi,2006,manuell,140,125000,nein
94056,6484,kombi,2008,manuell,90,150000,nein
67218,8303,kombi,2006,manuell,102,125000,nein
10404,8715,kombi,2007,manuell,140,150000,nein
188024,4276,kombi,2007,manuell,140,150000,ja
22663,1984,kombi,2006,manuell,110,150000,nein
154363,3256,kleinwagen,2007,manuell,90,125000,nein
7711,4805,bus,2006,manuell,0,150000,nein
28742,4462,kleinwagen,2006,manuell,86,90000,nein
137014,2308,kleinwagen,2006,manuell,95,150000,nein
53547,2495,kleinwagen,2006,manuell,68,125000,nein
15676,9978,kombi,2006,automatik,150,150000,nein
84120,6897,bus,2006,manuell,150,150000,nein
116100,3406,kleinwagen,2007,manuell,101,150000,nein
186555,9842,kombi,2006,manuell,170,150000,nein
14926,7188,kleinwagen,2007,manuell,109,125000,nein
64731,3921,kombi,2007,manuell,64,125000,nein
17038,5876,bus,2006,manuell,131,150000,nein
166703,6920,kombi,2006,manuell,190,150000,nein
197472,8989,suv,2007,manuell,106,90000,nein
113649,2980,kombi,2007,manuell,116,100000,ja
156677,6964,kombi,2006,manuell,163,150000,nein
47833,8166,limousine,2007,manuell,129,125000,nein
165927,6320,suv,2006,manuell,150,150000,nein
195927,2961,kleinwagen,2006,manuell,77,150000,nein
123003,4217,kleinwagen,2007,manuell,54,125000,nein
199776,7485,kombi,2007,manuell,140,150000,nein
105307,6474,limousine,2007,manuell,143,150000,nein
133437,8262,limousine,2006,manuell,129,100000,nein
24339,7564,kleinwagen,2008,manuell,192,150000,nein
137054,7368,suv,2008,manuell,129,150000,nein
173884,9972,limousine,2008,manuell,226,125000,nein
50402,2800,kombi,2008,manuell,109,150000,nein
178965,9472,limousine,2007,automatik,286,150000,nein
89549,7511,limousine,2006,automatik,200,150000,nein
93839,4415,limousine,2007,automatik,150,150000,nein
109391,1013,kleinwagen,2006,manuell,60,125000,ja
47485,5743,suv,2008,manuell,141,60000,nein
74078,6873,bus,2006,manuell,140,100000,nein
163801,3016,kleinwagen,2008,manuell,65,125000,nein
123687,7520,limousine,2006,manuell,0,125000,nein
66881,2385,cabrio,2006,manuell,109,150000,nein
56669,3934,kombi,2007,manuell,170,150000,nein
141613,8329,limousine,2006,automatik,170,150000,nein
19187,6383,kombi,2007,manuell,140,150000,nein
55322,5680,kleinwagen,2008,manuell,95,40000,nein
26990,6008,limousine,2006,manuell,140,150000,nein
108701,4691,bus,2006,automatik,140,150000,nein
29834,7839,limousine,2007,manuell,116,125000,nein
191305,3052,kombi,2006,manuell,131,150000,nein
31968,4473,kombi,2008,manuell,105,125000,nein
90871,4156,kombi,2008,manuell,116,150000,nein
199586,4952,kombi,2006,manuell,105,150000,nein
72976,7535,kleinwagen,2008,manuell,155,90000,nein
117193,4727,kleinwagen,2007,manuell,125,150000,nein
152749,2824,limousine,2006,automatik,156,60000,nein
37704,3254,kleinwagen,2008,manuell,68,150000,nein
55383,4929,kombi,2006,manuell,102,100000,ja
7994,9525,kombi,2007,manuell,197,150000,ja
600,6789,limousine,2006,automatik,224,150000,nein
50801,5056,limousine,2006,manuell,163,150000,nein
15244,8313,limousine,2008,manuell,110,150000,nein
9719,3562,kleinwagen,2006,manuell,80,150000,nein
114061,6742,limousine,2007,automatik,140,150000,nein
78367,8241,suv,2007,manuell,129,100000,nein
28210,2639,kleinwagen,2006,manuell,80,100000,nein
45997,4960,limousine,2006,manuell,82,150000,nein
160819,4227,bus,2006,manuell,120,150000,nein
65625,4707,kombi,2006,automatik,170,150000,ja
341,8705,cabrio,2006,manuell,140,150000,nein
39376,6004,kombi,2006,manuell,197,150000,nein
98055,9974,limousine,2008,automatik,200,80000,nein
101613,6915,limousine,2006,automatik,140,150000,nein
125802,3905,kombi,2006,automatik,179,150000,ja
73665,4453,kleinwagen,2006,manuell,87,100000,nein
130594,6014,limousine,2006,manuell,75,100000,nein
178328,6322,bus,2007,manuell,131,150000,nein
180600,4890,limousine,2006,automatik,95,150000,nein
64770,4884,kleinwagen,2007,automatik,84,100000,nein
134231,5325,bus,2007,manuell,140,150000,nein
186289,7753,kombi,2008,manuell,140,150000,nein
50683,5955,bus,2008,manuell,103,50000,nein
111950,3954,limousine,2007,manuell,120,150000,nein
89824,4647,kombi,2007,automatik,129,100000,nein
104717,6848,limousine,2007,manuell,170,150000,nein
181215,8397,kleinwagen,2006,manuell,170,90000,nein
57904,6676,kombi,2008,manuell,95,40000,nein
30506,1500,kombi,2006,manuell,75,5000,ja
140438,3973,kleinwagen,2007,manuell,90,150000,nein
128000,5493,limousine,2007,manuell,0,90000,nein
137340,3501,kleinwagen,2007,manuell,87,90000,nein
166863,7007,limousine,2007,manuell,105,150000,nein
52497,9026,limousine,2008,manuell,140,80000,nein
42288,3214,limousine,2007,manuell,68,125000,nein
17981,5044,cabrio,2007,manuell,109,100000,nein
26350,5657,kombi,2008,manuell,105,125000,nein
52127,5509,bus,2006,manuell,140,125000,nein
145476,6803,kombi,2006,manuell,116,125000,nein
108682,1887,bus,2006,manuell,0,150000,nein
70860,6801,kombi,2008,manuell,105,150000,nein
112371,4372,limousine,2007,automatik,156,150000,nein
52831,4704,bus,2007,manuell,170,150000,nein
186679,9608,suv,2006,manuell,150,150000,nein
115805,2947,kleinwagen,2008,manuell,75,150000,ja
137743,3557,kombi,2007,manuell,170,150000,nein
150085,6377,coupe,2008,manuell,116,80000,nein
182444,1510,kombi,2006,manuell,10910,20000,ja
9474,8901,limousine,2006,automatik,224,150000,nein
190182,3794,bus,2006,manuell,150,150000,ja
100347,3476,kombi,2006,automatik,136,150000,nein
42579,8959,kombi,2007,automatik,197,150000,nein
160704,4491,kombi,2008,manuell,109,150000,nein
124997,8527,kombi,2007,automatik,177,150000,nein
23908,2744,kleinwagen,2006,manuell,60,100000,nein
163448,6455,kombi,2006,manuell,140,150000,nein
110036,6000,limousine,2006,automatik,109,150000,nein
156902,2983,kombi,2006,manuell,109,150000,nein
131122,7647,kombi,2008,manuell,105,90000,nein
182012,5012,bus,2006,automatik,125,80000,nein
172390,5904,kombi,2008,manuell,170,150000,nein
50225,6991,kombi,2006,automatik,163,150000,nein
12926,8269,suv,2006,automatik,194,100000,nein
122652,6545,limousine,2007,manuell,95,90000,nein
26625,6984,limousine,2006,manuell,105,150000,nein
195127,4915,limousine,2007,automatik,105,150000,nein
99338,9975,limousine,2007,manuell,197,150000,nein
41255,7756,limousine,2006,manuell,200,125000,nein
75156,4439,kleinwagen,2007,manuell,80,80000,nein
144151,6942,limousine,2007,automatik,109,60000,nein
27467,6491,kombi,2008,manuell,125,150000,nein
35477,5904,limousine,2007,manuell,102,100000,nein
142543,7398,limousine,2008,manuell,122,150000,nein
12070,3977,bus,2008,automatik,140,150000,nein
41309,5536,kleinwagen,2008,manuell,86,100000,nein
64336,3031,kleinwagen,2006,manuell,60,90000,nein
133929,3227,bus,2006,manuell,144,150000,nein
170032,2196,bus,2006,manuell,86,150000,nein
107201,5010,bus,2007,automatik,140,150000,nein
155328,4724,kleinwagen,2007,manuell,69,125000,nein
18664,9988,kombi,2007,automatik,231,150000,nein
157265,2942,bus,2007,manuell,75,125000,nein
140118,4490,cabrio,2006,automatik,131,150000,nein
187682,2766,kombi,2007,manuell,109,150000,nein
16061,5861,kombi,2007,manuell,135,100000,nein
102812,6345,bus,2006,manuell,102,125000,nein
161815,2024,kombi,2006,automatik,119,150000,ja
106224,2616,kleinwagen,2006,manuell,88,150000,nein
81783,7963,cabrio,2006,manuell,116,100000,nein
93190,1936,kleinwagen,2006,manuell,68,150000,nein
168572,2491,kombi,2006,manuell,170,150000,nein
30249,7881,bus,2008,automatik,170,150000,nein
184692,7521,kombi,2007,manuell,140,150000,nein
46958,2389,kleinwagen,2007,manuell,58,90000,nein
173264,7164,limousine,2007,manuell,140,150000,nein
188945,5505,limousine,2006,manuell,80,70000,nein
162248,1620,coupe,2006,manuell,90,150000,ja
93742,8684,kombi,2007,automatik,177,150000,nein
112801,3995,bus,2007,manuell,120,150000,nein
167239,7505,bus,2008,manuell,86,125000,nein
31132,5424,kombi,2006,automatik,140,150000,ja
136596,6105,cabrio,2008,manuell,131,150000,nein
94698,3469,kleinwagen,2006,manuell,54,150000,nein
17233,6858,kombi,2006,manuell,163,150000,nein
170466,1521,kleinwagen,2006,manuell,60,150000,nein
89010,7035,kombi,2006,manuell,143,125000,nein
149854,1896,kleinwagen,2006,manuell,61,125000,nein
170165,2867,kleinwagen,2007,manuell,60,80000,nein
192761,3784,bus,2007,manuell,94,150000,nein
20246,2883,kleinwagen,2008,manuell,60,80000,ja
117198,5015,bus,2008,manuell,105,125000,nein
114640,3014,kleinwagen,2007,manuell,54,150000,nein
81951,5977,cabrio,2007,automatik,140,5000,nein
111203,5924,suv,2006,manuell,150,150000,ja
7308,9914,bus,2008,manuell,122,70000,nein
174986,3042,kleinwagen,2008,manuell,120,100000,nein
157653,6907,kombi,2007,automatik,179,150000,nein
158589,5982,kleinwagen,2006,manuell,69,70000,nein
58761,2819,kombi,2008,manuell,105,150000,nein
54982,6145,limousine,2006,manuell,122,150000,nein
155348,9277,limousine,2006,automatik,0,150000,nein
192388,5502,kleinwagen,2007,manuell,101,50000,nein
133750,3361,kleinwagen,2008,manuell,68,50000,nein
160827,4587,kombi,2006,manuell,110,125000,nein
61146,9363,kombi,2008,automatik,174,150000,nein
142263,2770,limousine,2008,manuell,86,150000,nein
103317,9899,limousine,2006,automatik,224,150000,nein
24033,6745,bus,2008,manuell,175,150000,nein
20742,7067,limousine,2006,manuell,120,150000,nein
77512,7479,limousine,2007,manuell,105,150000,ja
30660,3708,kleinwagen,2007,manuell,80,100000,nein
32295,8357,cabrio,2007,automatik,120,40000,nein
163999,9902,bus,2008,manuell,105,150000,nein
150573,1948,kleinwagen,2006,manuell,60,125000,nein
167246,9086,bus,2007,manuell,90,150000,nein
17620,5186,cabrio,2007,manuell,120,125000,nein
92390,1485,kleinwagen,2008,manuell,44,70000,ja
125588,5951,limousine,2006,automatik,250,150000,nein
112283,8983,coupe,2006,manuell,150,150000,nein
184630,2489,kleinwagen,2006,manuell,65,150000,nein
17530,4852,bus,2007,manuell,95,150000,nein
44453,4250,kleinwagen,2007,automatik,71,60000,nein
184757,8667,cabrio,2006,manuell,90,90000,nein
190080,8221,kombi,2006,automatik,179,150000,nein
70437,6774,limousine,2007,automatik,170,150000,nein
80662,4437,limousine,2008,automatik,95,100000,nein
187075,6500,kombi,2006,manuell,140,150000,nein
118392,9946,limousine,2008,manuell,177,150000,nein
166354,2496,kleinwagen,2006,manuell,75,150000,nein
170193,3937,kombi,2007,manuell,150,150000,nein
159485,6216,limousine,2006,manuell,155,150000,nein
42973,7508,kombi,2006,automatik,189,150000,nein
94472,3832,kombi,2007,manuell,116,150000,nein
186162,2929,kombi,2008,manuell,87,150000,nein
159911,2127,kleinwagen,2006,manuell,0,150000,ja
142717,2529,kleinwagen,2008,manuell,86,90000,ja
15907,5780,limousine,2007,manuell,97,90000,nein
136553,2020,kleinwagen,2007,manuell,69,90000,nein
70562,4270,kombi,2008,manuell,105,150000,nein
150150,8448,limousine,2006,manuell,140,150000,nein
130355,6007,limousine,2006,manuell,116,70000,nein
56154,7783,limousine,2008,manuell,174,50000,nein
169361,3714,kombi,2007,manuell,120,150000,nein
97115,2175,kleinwagen,2007,manuell,68,150000,nein
180058,4469,kleinwagen,2006,manuell,69,50000,nein
152603,3000,kleinwagen,2007,manuell,69,150000,nein
29399,7961,limousine,2006,automatik,179,150000,nein
4247,5897,kombi,2006,manuell,105,150000,nein
21518,8669,bus,2008,automatik,145,125000,nein
20620,4485,cabrio,2007,manuell,109,90000,nein
131517,7952,kombi,2006,manuell,177,80000,nein
93571,9343,limousine,2008,manuell,143,150000,nein
6305,6653,bus,2006,manuell,109,150000,nein
94760,8722,kombi,2008,automatik,200,125000,ja
68363,8260,cabrio,2007,manuell,87,40000,nein
79719,5668,kleinwagen,2007,manuell,80,150000,nein
54825,8304,cabrio,2007,manuell,177,125000,nein
177995,8499,limousine,2006,manuell,140,150000,nein
14080,8946,bus,2006,automatik,174,150000,ja
68338,8594,kombi,2007,manuell,116,125000,nein
71167,7267,kombi,2008,manuell,150,90000,nein
98889,3455,kleinwagen,2007,manuell,75,150000,nein
39221,9973,limousine,2006,automatik,177,150000,nein
13283,5858,kombi,2007,manuell,140,70000,nein
77246,2970,kombi,2006,manuell,110,150000,nein
104584,9495,suv,2008,automatik,171,150000,nein
89752,6961,limousine,2008,manuell,140,150000,nein
119181,6007,kleinwagen,2007,manuell,150,125000,nein
1844,5912,bus,2007,manuell,145,150000,nein
29330,7887,bus,2008,automatik,150,150000,nein
